List of functions and other names in GEMS3K (GEMIPM2K) renamed for consistence with GEMS3K paper
DK April 2011

Functions in GEMS3K renamed on 11-13 April 2011 for consistency with 'official' paper/report
and better readability of the source code (DK)

Old name                                                    New name

MultiInit()						    InitalizeGEM_IPM_Data()

calcMulti()                                                 ComputeEquilibriumState()

calcEqustat()                                               CalculateEquilibriumState()

GibbsMinimization()                                         GibbsEnergyMinimization()

MultiCalcMain()                                             GEM_IPM()

MultiCalcInit()                                             GEM_IPM_Initialize()

AutoInitialApprox()                                         GEM_IPM_InitialApproximation()

SimplexInitialApproximation()                               AutoInitialApproximation() 

Simplex()                                                   SolveSimplex()    	

EnterFeasibleDomain()                                       MassBalanceRefinement()

PhaseSelection()                                            PhaseSelectionSpeciationCleanup()

CleanupSpeciation()					    SpeciationCleanup()  

f_alpha()                                                   KarpovsPhaseStabilityCriteria()

ZeroDCsOff()                                                DC_ZeroOff()

RaiseZeroedOffDCs()                                         DC_RaiseZeroedOff()

Restoring_Y_YF()                                            Restore_Y_YF_Vectors()

DualChemPot()                                               DC_DualChemicalPotential()

PrimalDC_ChemPot()                                          DC_PrimalChemicalPotential()

Ej_init_calc()                                              DC_PrimalChemicalPotentialUpdate()

FreeEnergyIncr()                                            DC_GibbsEnergyContribution()

ConCalc()                                                   CalculateConcentrations()

ConCalcDC()                                                 CalculateConcentrationsInPhase()      

TotalPhases()                                               TotalPhasesAmounts()

GammaCalc()                                                 CalculateActivityCoefficients()

SolverLinearEquations()                                     MakeAndSolveSystemOfLinearEquations() 

calcDikin()                                                 DikinsCriterion()

calcLM()                                                    StepSizeEstimate()

LMD()                                                       OptimizeStepSize()

calcTotalMoles()                                            SystemTotalMolesIC()

ScaleMulti()                                       	    ScaleSystemToInternal() 

RescaleMulti()                                     	    RescaleSystemFromInternal() 

CompG0Load()                                                DC_LoadThermodynamicData()

Cj_init_calc()                                              ConvertGj_toUniformStandardState() !!!!


