 SDref '*' Nrec=47
escript-table-min   0000 dcomp  
iscript-Gottschalk  0011 dcomp  
iscript-SUPCRT-aqs  0000 dcomp  
iscript-SUPCRT-min1 0001 dcomp  
iscript-SUPCRT-min2 0002 dcomp  
mscript-2-Gugg      0002 phase  
mscript-2-Margules  0001 phase  
mscript-aqueous     0001 gtdemo 
mscript-dcompG-extr 0000 rtparm 
mscript-miscel      0003 gtdemo 
mscript-plot-aqueos 0001 proces 
mscript-plot-solgas 0000 proces 
mscript-plot-sorpt  0002 proces 
mscript-reac2t-extr 0001 rtparm 
mscript-solgas      0000 gtdemo 
mscript-sorption    0002 gtdemo 
mscript-titr-direct 0002 proces 
mscript-titr-increm 0001 proces 
mscript-titr-invers 0003 proces 
mscript-titr-lgincr 0000 proces 
pscript-3term       0000 reacdc 
pscript-CIandCA     0000 compos 
pscript-aqHKF       0001 dcomp  
pscript-empdat      0001 gtdemo 
pscript-empdat      0001 rtparm 
pscript-eqst-aqsorp 0002 multi  
pscript-eqst-aquat  0000 multi  
pscript-eqst-noaqa  0001 multi  
pscript-full        0000 icomp  
pscript-full        0002 system 
pscript-g-gx-v      0000 mtparm 
pscript-ideal       0000 phase  
pscript-mineral     0000 dcomp  
pscript-noempd      0000 rtparm 
pscript-noempdat    0000 gtdemo 
pscript-noplot      0000 proces 
pscript-normal      0000 system 
pscript-onlyCA      0002 compos 
pscript-onlyCI      0001 compos 
pscript-plot-empd   0001 proces 
pscript-plot-noempd 0002 proces 
pscript-script      0000 sdref  
pscript-seqreac     0001 system 
pscript-short       0001 icomp  
pscript-solution    0003 phase  
pscript-sorption    0001 phase  
pscript-sorption    0004 system 
